strategy,repeat,seed,success,benchmark_stop_reason,total_time_s,pose_validation_time_s,structural_time_s,rai_robot_import_time_s,rai_robot_template_restore_time_s,rai_builder_setup_time_s,rai_runtime_time_s,rai_runtime_percent,backward_search_runtime_percent,other_runtime_percent,structural_plans_generated,structural_replans,rai_transition_attempts,rai_transition_failures,komo_calls,komo_feasible,komo_infeasible,first_plan_support_moves,first_plan_support_steps,support_moves,support_steps,first_to_final_exact_match,first_to_final_common_prefix_length,first_to_final_changed_positions,source_file
highest_first,0,200458,True,complete,1007.953545862998,921.7813299630798,82.3104493099745,3.5235078430050635,0.0,3.5235078430050635,925.3048378060848,91.80034552225814,8.166095515790985,0.03355896195087546,141,140,294,140,4179,154,4025,10,26,10,25,False,2,14,experiments/results/evaluation/current/one_arm_isolated_komo25_10seeds/highest_first/seed_200458/benchmark.csv
highest_first,0,200459,True,complete,17.72533836799994,14.217772174997663,0.10390280200226698,3.3788726790007786,0.0,3.3788726790007786,17.59664485399844,99.27395736357941,0.5861823331386762,0.1398603032819161,1,0,20,0,87,20,67,10,26,10,26,True,20,0,experiments/results/evaluation/current/one_arm_isolated_komo25_10seeds/highest_first/seed_200459/benchmark.csv
highest_first,0,200460,True,complete,33.649603976002254,29.87941055999545,0.21701886000664672,3.5266310920051183,0.0,3.5266310920051183,33.40604165200057,99.27618071173917,0.6449373376323155,0.07888195062851205,2,1,21,1,114,20,94,10,26,10,26,False,12,4,experiments/results/evaluation/current/one_arm_isolated_komo25_10seeds/highest_first/seed_200460/benchmark.csv
highest_first,0,200461,True,complete,574.9159400959979,546.1571300949727,25.19694296400121,3.3928269789976184,0.0,3.3928269789976184,549.5499570739703,95.58787967893322,4.382717751710604,0.02940256935617643,112,111,231,111,2850,120,2730,10,26,9,22,False,9,6,experiments/results/evaluation/current/one_arm_isolated_komo25_10seeds/highest_first/seed_200461/benchmark.csv
default,0,200452,True,complete,388.4345353690005,376.4678733210021,8.573283154011733,3.2972575679996226,0.0,3.2972575679996226,379.76513088900174,97.76811696937217,2.207137206754128,0.024745823873701063,61,60,141,60,1747,81,1666,14,21,12,20,False,10,4,experiments/results/evaluation/current/one_arm_isolated_komo25_10seeds/default/seed_200452/benchmark.csv
default,0,200453,False,total_runtime_limit,2001.1251095519983,1684.5467035519505,312.00838222498714,3.48785233399758,0.0,3.48785233399758,1688.034555885948,84.35427389464203,15.591647955226447,0.05407815013152183,337,336,615,337,8992,278,8714,14,21,0,0,,,,experiments/results/evaluation/current/one_arm_isolated_komo25_10seeds/default/seed_200453/benchmark.csv
default,0,200454,True,complete,19.030611010002758,15.440269463000732,0.06919879600172862,3.495393106000847,0.0,3.495393106000847,18.93566256900158,99.50107518381164,0.36361836183481844,0.13530645435354735,1,0,20,0,78,20,58,14,21,14,21,True,20,0,experiments/results/evaluation/current/one_arm_isolated_komo25_10seeds/default/seed_200454/benchmark.csv
default,0,200455,False,structural_runtime_limit,2000.0121966180013,1720.9923411650016,274.657018916012,3.373358950000693,0.0,3.373358950000693,1724.3657001150023,86.21775922321302,13.732767199142787,0.04947357764418865,336,335,614,335,8832,279,8553,14,21,0,0,,,,experiments/results/evaluation/current/one_arm_isolated_komo25_10seeds/default/seed_200455/benchmark.csv
default,0,200456,True,complete,237.24998396299998,229.4753361610019,4.2952527980123705,3.4087529960015672,0.0,3.4087529960015672,232.88408915700347,98.1597913167078,1.8104333354484994,0.02977534784371179,47,46,98,46,1208,52,1156,14,21,9,26,False,2,18,experiments/results/evaluation/current/one_arm_isolated_komo25_10seeds/default/seed_200456/benchmark.csv
default,0,200457,True,complete,125.08842685599666,120.45267234300263,1.195413762005046,3.4005515989993,0.0,3.4005515989993,123.85322394200193,99.01253621534731,0.9556549650921913,0.0318088195604906,17,16,43,16,541,27,514,14,21,11,22,False,10,7,experiments/results/evaluation/current/one_arm_isolated_komo25_10seeds/default/seed_200457/benchmark.csv
default,0,200458,True,complete,253.52372817300056,242.94072803697782,7.090701133995026,3.409716001999186,0.0,3.409716001999186,246.350444038977,97.17056695808425,2.796858970595622,0.03257407132013367,54,53,124,53,1648,71,1577,14,21,12,19,False,8,8,experiments/results/evaluation/current/one_arm_isolated_komo25_10seeds/default/seed_200458/benchmark.csv
default,0,200459,True,complete,897.7325457909974,848.6619891870068,45.4064107929953,3.4135320679997676,0.0,3.4135320679997676,852.0755212550066,94.91418410192959,5.057899594470807,0.027916303599605615,151,150,304,150,4265,154,4111,14,21,12,23,False,7,12,experiments/results/evaluation/current/one_arm_isolated_komo25_10seeds/default/seed_200459/benchmark.csv
default,0,200460,False,total_runtime_limit,2004.5297192219987,1758.8932594589787,241.36850175496147,3.3998092510009883,0.0,3.3998092510009883,1762.2930687099797,87.91553708637274,12.041153565368031,0.04330934825922384,303,302,536,303,8323,233,8090,14,21,0,0,,,,experiments/results/evaluation/current/one_arm_isolated_komo25_10seeds/default/seed_200460/benchmark.csv
default,0,200461,True,complete,56.349816144000215,52.228054039998824,0.5999846890008484,3.487424890001421,0.0,3.487424890001421,55.715478930000245,98.87428698546427,1.0647500383454778,0.060962976190259165,8,7,27,7,250,20,230,14,21,10,23,False,4,9,experiments/results/evaluation/current/one_arm_isolated_komo25_10seeds/default/seed_200461/benchmark.csv
