removal_strategy,included_rod_count,expected_runs,recorded_runs,successful_runs,failed_runs,missing_not_attempted_runs,runtime_limit_failures,open_list_exhausted_failures,runtime_successful_mean_s,runtime_successful_median_s,runtime_successful_std_s,runtime_successful_min_s,runtime_successful_max_s
highest_first,29,5,5,5,0,0,0,0,0.0770413536,0.075135309,0.0046055744894961045,0.072136228,0.083266518
highest_first,31,5,5,5,0,0,0,0,0.0970046464,0.096022454,0.005247838265956592,0.090804934,0.104879657
highest_first,33,5,5,5,0,0,0,0,0.106005652,0.104551324,0.0033068245660168465,0.102324926,0.110383165
highest_first,35,5,5,5,0,0,0,0,0.13700562859999998,0.138014743,0.009543791608972544,0.122714583,0.148759701
highest_first,37,5,5,5,0,0,0,0,0.1672826076,0.178239,0.021225112763575284,0.144025932,0.18497588
highest_first,39,5,5,5,0,0,0,0,0.209494555,0.20561975,0.013723082733315954,0.193886752,0.228833337
highest_first,41,5,5,5,0,0,0,0,0.2486762642,0.247878085,0.014239188829400553,0.233483231,0.26930166
highest_first,43,5,5,5,0,0,0,0,0.3353640982,0.326247137,0.03333701856318366,0.307645432,0.38735632
highest_first,45,5,5,5,0,0,0,0,0.41242393180000003,0.378088142,0.06706422443895328,0.352705406,0.504153461
highest_first,47,5,5,5,0,0,0,0,0.4951828258,0.474222632,0.03787343511330279,0.456128645,0.540712907
highest_first,49,5,5,5,0,0,0,0,0.5639719938000001,0.570457594,0.03735590882350952,0.517237546,0.61303406
highest_first,51,5,5,5,0,0,0,0,0.7387376458,0.699045981,0.05785419783426937,0.692386594,0.806922539
highest_first,53,5,5,5,0,0,0,0,0.9164508768,0.879456192,0.06015062529736537,0.868988902,1.000267717
highest_first,55,5,5,5,0,0,0,0,1.1196671122,1.129229841,0.03430393160664506,1.069086507,1.152675457
highest_first,57,5,5,5,0,0,0,0,1.2638666556,1.412167871,0.31269757611867993,0.741724035,1.483956711
highest_first,59,5,5,5,0,0,0,0,1.5284443576,1.650227675,0.24139809441693255,1.252695999,1.766143843
